trial_number,model_name,display_name,hyperparameters,selection_status,validation_verdict,error_message,rmse,mae,r2,composite_score,test_rmse,test_mae,test_r2,test_composite_score,validation_pass_rate,failed_count,suspicious_count
1,XGBRegressor,XGBoost,"{""n_estimators"": 250, ""learning_rate"": 0.08923206243878873, ""max_depth"": 9, ""min_child_weight"": 2.116212519748774, ""subsample"": 0.9523799428764756, ""colsample_bytree"": 0.6364885197370257, ""reg_alpha"": 0.009608513347102976}",new_best,WARN,,2.614806633751203,1.3646430315663554,0.9755175314062818,0.9485580683646018,2.283903327079007,1.0723552227443955,0.9797753727541546,0.9560833281186099,0.7936893203883495,0,85
2,SVR,SVR,"{""C"": 55.13727168747514, ""epsilon"": 0.018947360328768294, ""kernel"": ""sigmoid"", ""gamma"": ""auto""}",rejected_validation_fail,FAIL,,865.8038419986045,500.3534405471093,-2660.156741087635,-812.2189581691995,1205.1408066977756,711.9711803754099,-5630.196417941519,-1709.1462343987228,0.0825242718446602,366,12
3,SVR,SVR,"{""C"": 0.5421998407851786, ""epsilon"": 0.12859137667970824, ""kernel"": ""sigmoid"", ""gamma"": ""scale""}",no_improvement,WARN,,14.024283328980506,10.504759433363422,0.30299708941564035,0.5366096186828663,17.87825857593,12.014761717544816,-0.23929734750027065,0.3117241556008229,0.779126213592233,0,91
4,GradientBoostingRegressor,GradientBoosting,"{""n_estimators"": 300, ""learning_rate"": 0.021408221593656226, ""max_depth"": 3, ""min_samples_split"": 5, ""min_samples_leaf"": 2, ""subsample"": 0.8547200778458333}",no_improvement,WARN,,5.033260703474227,3.8078102216846217,0.910051009244887,0.8815414330812624,4.688956007646896,3.531982544141572,0.9147533329707345,0.8892951521863104,0.7694174757281553,0,95
5,LGBMRegressor,LightGBM,"{""n_estimators"": 250, ""learning_rate"": 0.2994056511691639, ""num_leaves"": 49, ""min_child_samples"": 8, ""subsample"": 0.763241628118097, ""colsample_bytree"": 0.9120754017150939}",new_best,WARN,,2.607043571245635,1.1666019246311543,0.9751486046087404,0.9496609176249223,2.2237279270834867,0.9003151399175124,0.980827074170758,0.9581985110642359,0.7912621359223301,0,86
6,GradientBoostingRegressor,GradientBoosting,"{""n_estimators"": 400, ""learning_rate"": 0.07343464282741094, ""max_depth"": 3, ""min_samples_split"": 2, ""min_samples_leaf"": 6, ""subsample"": 0.8462000548466443}",no_improvement,WARN,,3.353321032801465,2.432351344632726,0.9599781199428816,0.9276339696436737,3.483330126303025,2.3922578154207605,0.9529549035305321,0.9239368859118731,0.7742718446601942,0,93
7,SVR,SVR,"{""C"": 10.439154198806584, ""epsilon"": 0.0018094157689030374, ""kernel"": ""rbf"", ""gamma"": ""scale""}",no_improvement,WARN,,6.296360363117893,4.357551609011685,0.8592580148188812,0.8456129549924194,5.4739560649088945,3.731361016125959,0.8838209806438675,0.8679505412698467,0.8155339805825242,0,76
8,Ridge,Ridge,"{""alpha"": 0.5972256959624795, ""fit_intercept"": true, ""solver"": ""lsqr""}",no_improvement,WARN,,10.440035121461161,8.236469981525241,0.6128030270293092,0.692217145191049,10.396860414143896,8.09745569841408,0.5808885573204818,0.6840209764884008,0.7985436893203883,0,83
9,GradientBoostingRegressor,GradientBoosting,"{""n_estimators"": 200, ""learning_rate"": 0.02207056396274524, ""max_depth"": 3, ""min_samples_split"": 5, ""min_samples_leaf"": 3, ""subsample"": 0.6222324616779333}",no_improvement,WARN,,5.671675372909563,4.3660868814425005,0.8859321487146758,0.8622830896541415,5.127012939608241,3.9761743659883684,0.898081289859352,0.875702899375957,0.7572815533980582,0,100
10,GradientBoostingRegressor,GradientBoosting,"{""n_estimators"": 500, ""learning_rate"": 0.08859248871016417, ""max_depth"": 3, ""min_samples_split"": 12, ""min_samples_leaf"": 5, ""subsample"": 0.9259160529048607}",no_improvement,WARN,,3.071577926879526,2.158921547362211,0.9663273232734007,0.9349955190941147,3.214357687050483,2.1901414307089957,0.9599397646254794,0.9309129755651716,0.7718446601941747,0,94
11,LGBMRegressor,LightGBM,"{""n_estimators"": 250, ""learning_rate"": 0.2930523114383055, ""num_leaves"": 51, ""min_child_samples"": 7, ""subsample"": 0.7625479545711369, ""colsample_bytree"": 0.9359613707947645}",new_best,WARN,,2.5745263123362445,1.1351356490111002,0.9757435248760012,0.9504686759137156,2.2956738984267204,0.9021683600341215,0.9795663719184096,0.9568061767358629,0.7888349514563107,0,87
12,LGBMRegressor,LightGBM,"{""n_estimators"": 200, ""learning_rate"": 0.22953570795736766, ""num_leaves"": 51, ""min_child_samples"": 6, ""subsample"": 0.7646181492453313, ""colsample_bytree"": 0.9358509752021822}",no_improvement,WARN,,2.5766880378121995,1.1942880278174808,0.9755412561698732,0.9500477205062772,2.0962349378034637,0.8570175313094905,0.9829625340147706,0.9608595485868872,0.7912621359223301,0,86
13,LGBMRegressor,LightGBM,"{""n_estimators"": 200, ""learning_rate"": 0.292796122219982, ""num_leaves"": 53, ""min_child_samples"": 5, ""subsample"": 0.7604537524881575, ""colsample_bytree"": 0.9692787104746794}",new_best,WARN,,2.480450328602076,1.152067466994157,0.9777240100310222,0.9522808656973593,2.3485385609277203,0.9398239833771189,0.9786144471328464,0.9555728914277819,0.8033980582524272,0,81
14,RandomForestRegressor,RandomForest,"{""n_estimators"": 350, ""max_depth"": 8, ""min_samples_split"": 7, ""min_samples_leaf"": 4, ""max_features"": null}",no_improvement,WARN,,4.665050185551219,3.4160905312095444,0.9227739801917499,0.892681641837817,4.262799355845617,3.207849690371843,0.9295445043284001,0.9014870930844072,0.7597087378640777,0,99
15,LGBMRegressor,LightGBM,"{""n_estimators"": 100, ""learning_rate"": 0.0251125573798535, ""num_leaves"": 62, ""min_child_samples"": 5, ""subsample"": 0.6174212338449685, ""colsample_bytree"": 0.9704381994122473}",no_improvement,WARN,,3.9336789437160795,2.9575330220961593,0.9448268996603734,0.9120606138448273,3.6044475404594576,2.7309167451328813,0.949626455597358,0.9193585653499468,0.7839805825242718,0,89
16,LGBMRegressor,LightGBM,"{""n_estimators"": 450, ""learning_rate"": 0.11022816899816697, ""num_leaves"": 25, ""min_child_samples"": 24, ""subsample"": 0.8649550404208618, ""colsample_bytree"": 0.6732594029517027}",no_improvement,WARN,,2.579046083211028,1.4866085063858936,0.9758595447733477,0.9484789402650641,2.388148040095132,1.3617100871241405,0.9778870042914807,0.9524475909257729,0.7936893203883495,0,85
17,LGBMRegressor,LightGBM,"{""n_estimators"": 350, ""learning_rate"": 0.08749856121209118, ""num_leaves"": 44, ""min_child_samples"": 15, ""subsample"": 0.7182230835226097, ""colsample_bytree"": 0.8233844802873158}",no_improvement,WARN,,2.5196317911492905,1.3421830138885518,0.976724635096643,0.9503734108594387,2.269119187973783,1.128046128331771,0.9800363609888156,0.9560570940185795,0.7936893203883495,0,85
18,Ridge,Ridge,"{""alpha"": 0.0015105296759819111, ""fit_intercept"": false, ""solver"": ""svd""}",rejected_validation_fail,FAIL,,37.31745030245472,35.82666460008183,-3.949598586425702,-1.2054677042394755,36.61806335869013,35.117868408597616,-4.198952328629842,-1.2665604520467442,0.4344660194174757,229,4
19,RandomForestRegressor,RandomForest,"{""n_estimators"": 100, ""max_depth"": 10, ""min_samples_split"": 3, ""min_samples_leaf"": 1, ""max_features"": ""sqrt""}",no_improvement,WARN,,4.123372148836023,3.106997709560849,0.9396244867403067,0.9070191887000438,3.63541046724516,2.8155052558612335,0.9487573007709327,0.9181937606014274,0.7839805825242718,0,89
20,XGBRegressor,XGBoost,"{""n_estimators"": 500, ""learning_rate"": 0.0116839886221085, ""max_depth"": 3, ""min_child_weight"": 9.929029929091964, ""subsample"": 0.64074995759643, ""colsample_bytree"": 0.9756177082818405, ""reg_alpha"": 1.2804561083836251e-06}",no_improvement,WARN,,5.270929178965422,3.9774197420704454,0.9014309174337743,0.8746929359438579,4.730822812004483,3.6280160254019727,0.9132242339501296,0.8877163631029871,0.7645631067961165,0,97
21,LGBMRegressor,LightGBM,"{""n_estimators"": 150, ""learning_rate"": 0.2993489041938203, ""num_leaves"": 61, ""min_child_samples"": 14, ""subsample"": 0.9543886830488689, ""colsample_bytree"": 0.9963539149584527}",no_improvement,WARN,,2.595195622359453,1.2720118043769888,0.9752390738500477,0.9492650932729303,2.1688395401477276,0.9359435410346789,0.9817618855714256,0.95904591725181,0.7985436893203883,0,83
22,LGBMRegressor,LightGBM,"{""n_estimators"": 350, ""learning_rate"": 0.07746289246085902, ""num_leaves"": 42, ""min_child_samples"": 14, ""subsample"": 0.7088128949320739, ""colsample_bytree"": 0.8297709804110817}",no_improvement,WARN,,2.5186596268144164,1.3727631181253086,0.9766867878186849,0.9502049602598073,2.26894289583321,1.1633584440813547,0.9800394628936939,0.9558634149714929,0.7912621359223301,0,86
23,LGBMRegressor,LightGBM,"{""n_estimators"": 350, ""learning_rate"": 0.14274725845230551, ""num_leaves"": 46, ""min_child_samples"": 11, ""subsample"": 0.6934780666757696, ""colsample_bytree"": 0.8244115207733527}",new_best,WARN,,2.4428248234237504,1.1882199903160477,0.9778270608215142,0.9526349691154945,2.063842515838086,0.9081250647021155,0.9834850143259396,0.9611830093511762,0.7888349514563107,0,87
24,LGBMRegressor,LightGBM,"{""n_estimators"": 300, ""learning_rate"": 0.18207430268963656, ""num_leaves"": 53, ""min_child_samples"": 10, ""subsample"": 0.6577224086434309, ""colsample_bytree"": 0.8809772475313032}",no_improvement,WARN,,2.5433817540526222,1.1887216316978517,0.9760733602389126,0.9507031015465799,2.167200368483551,0.8783968410411144,0.9817894432607901,0.9593982078551904,0.7961165048543689,0,84
25,LGBMRegressor,LightGBM,"{""n_estimators"": 350, ""learning_rate"": 0.14789880607096464, ""num_leaves"": 32, ""min_child_samples"": 11, ""subsample"": 0.6222350994724205, ""colsample_bytree"": 0.7573186135222418}",no_improvement,WARN,,2.4908740003330614,1.2913059665598612,0.9773716930696802,0.9512526855005412,2.193937014210202,1.0926146469515696,0.9813373460985885,0.9576940561992842,0.7961165048543689,0,84
26,LGBMRegressor,LightGBM,"{""n_estimators"": 400, ""learning_rate"": 0.13394633772100653, ""num_leaves"": 30, ""min_child_samples"": 21, ""subsample"": 0.6014598663224577, ""colsample_bytree"": 0.7241770311289127}",no_improvement,WARN,,2.4754541090595157,1.3557220467361988,0.9776082004270756,0.9511792840502743,2.238808522496943,1.1947122133024146,0.9805661433641472,0.9562668725981701,0.7888349514563107,0,87
27,LGBMRegressor,LightGBM,"{""n_estimators"": 500, ""learning_rate"": 0.0391677539222661, ""num_leaves"": 35, ""min_child_samples"": 11, ""subsample"": 0.6760465057331524, ""colsample_bytree"": 0.7333828314951403}",no_improvement,WARN,,2.5337122658248954,1.5240074572546827,0.9766894543283332,0.9491516907298786,2.326541440687535,1.3202059693914967,0.9790131781012282,0.9538765948506707,0.7839805825242718,0,89
28,Ridge,Ridge,"{""alpha"": 82.46674595069548, ""fit_intercept"": true, ""solver"": ""cholesky""}",no_improvement,WARN,,10.58282369671731,8.456768209362318,0.602954479265845,0.6860409828700114,10.337506026549395,8.204051337934779,0.5856602085173704,0.6856856932506104,0.808252427184466,0,79
29,RandomForestRegressor,RandomForest,"{""n_estimators"": 600, ""max_depth"": 4, ""min_samples_split"": 10, ""min_samples_leaf"": 4, ""max_features"": ""log2""}",no_improvement,WARN,,8.086603058179216,6.422379626398239,0.7685961884804536,0.7819138723919895,7.6267036239136035,6.230759469373443,0.7744728501469256,0.7911627152081377,0.6990291262135923,0,124
